"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
23,"NCT00540969","Cryoablation or External-Beam Radiation Therapy in Treating Patients With Painful Bone Metastases",,"Terminated","Has Results","Kidney Cancer|Melanoma (Skin)|Metastatic Cancer|Pain|Unspecified Adult Solid Tumor, Protocol Specific","Procedure: cryosurgery|Radiation: radiation therapy","Comparison of Pre- and Post-treatment Worst Pain in 24 Hours at Week 6 as Measured on the Numeric 0 to 10 Brief Pain Inventory (BPI) Scale|Average Difference in Pre- and Post-treatment Average Pain, Pain Relief, and Pain Interference Scores at Week 6 as Measured With the BPI|Average Difference in Pre- and Post-treatment Physical (PCS-8) and Mental (MCS-8) Quality of Life at Week 6 as Measured by the 2 Subscales of the Short Form (SF)-8","Alliance for Clinical Trials in Oncology|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 3","3","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NCCTG-N06C6|NCI-2009-00690|CDR0000570788","February 2008","January 2010","January 2010","October 8, 2007","February 1, 2017","November 21, 2018","UAB Comprehensive Cancer Center, Birmingham, Alabama, United States|Mayo Clinic Scottsdale, Scottsdale, Arizona, United States|Mayo Clinic - Jacksonville, Jacksonville, Florida, United States|Barbara Ann Karmanos Cancer Institute, Detroit, Michigan, United States|Mayo Clinic Cancer Center, Rochester, Minnesota, United States|Vince Lombardi Cancer Clinic at Aurora St. Luke's Medical Center, Milwaukee, Wisconsin, United States|Medical College of Wisconsin Cancer Center, Milwaukee, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT00540969"
24,"NCT00894738","Biomarkers of Cardiometabolic Risk in Children Treated With Antipsychotics: A Preliminary Study of Direct Measures",,"Completed","Has Results","Mental Disorders","Procedure: Testing (MRS, US, DEXA, blood tests)","Carotid Artery Intima-media Thickness Measured by Ultrasonography.|Intrahepatic Triglyceride Content (IHTG) Measure by Liver Magnetic Resonance Spectroscopy.","Washington University School of Medicine","All","6 Years to 18 Years   (Child, Adult)",,"44","Other","Observational","Observational Model: Case-Control|Time Perspective: Cross-Sectional","56790","January 1, 2010","March 31, 2016","June 1, 2016","May 7, 2009","June 6, 2019","June 6, 2019","Washington University School of Medicine, Saint Louis, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT00894738"
25,"NCT02441036","Gene Expression Following Ultherapy® Treatment",,"Terminated","Has Results","Skin Laxity","Device: Ultherapy Treatment","Changes in Gene Expression in Facial Skin Tissue Treated With Ultherapy Compared to Control (Untreated) Tissue Through Microarray Profiling|Changes in Gene Expression of Apoptotic Genes Induced in Tissues Treated With Ultherapy Relative to Control (Untreated) Tissues by PCR Array|Changes in Gene Expression of Heat Shock Proteins Genes Induced in Tissues Treated With Ultherapy Relative to Control (Untreated) Tissues by PCR Array|Changes in Protein Expression in Tissues Treated With Ultherapy Compared to Control (Untreated) Tissue by Immunohistochemistry","Ulthera, Inc|Merz North America, Inc.","All","45 Years to 70 Years   (Adult, Older Adult)","Not Applicable","16","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Basic Science","ULT-140","May 1, 2015","August 18, 2016","August 18, 2016","May 12, 2015","February 20, 2019","February 20, 2019","North Valley Plastic Surgery, Phoenix, Arizona, United States|Campbell Facial Plastic Surgery, Mequon, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT02441036"
26,"NCT02667912","Distal Renal Denervation",,"Completed","Has Results","Hypertension, Resistant to Conventional Therapy","Procedure: Distal renal denervation|Procedure: Conventional renal denervation","Changes of 24h-mean Systolic BP Assessed by Ambulatory Blood Pressure Monitoring (ABPM)|Number of Adverse Events|Changes of Arterial Resistance Index Measured by Doppler Flowmetry in the Right Segmental Renal Arteries|Changes of Arterial Resistance Index Measured by Doppler Flowmetry in the Left Segmental Renal Arteries|Changes of Serum Creatinine|Changes of Estimated Glomerular Filtration Rate (eGFR)|Changes of 24h-mean Diastolic BP|Changes of 24h-mean Systolic BP|Changes of Office Systolic BP|Changes of Office Diastolic BP|Changes of Daytime Systolic BP|Changes of Daytime Mean Systolic BP|Changes of Daytime Mean Diastolic BP|Changes of Nighttime Mean Systolic BP|Changes of Nighttime Mean Diastolic BP","Federal State Budgetary Scientific Institution, Research Institute of Cardiology|Tomsk National Research Medical Center of the Russian Academy of Sciences","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","55","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","022","January 2013","July 2016","December 2016","January 29, 2016","February 1, 2019","December 24, 2020","Tomsk National Research Medical Center of the Russian Academy of Sciences, Tomsk, Russian Federation",,"https://ClinicalTrials.gov/show/NCT02667912"
27,"NCT02667457","99mTc-rhAnnexin V-128 Imaging for Carotid Atherosclerosis",,"Terminated","Has Results","Carotid Artery Plaque","Radiation: 99mTc-rhAnnexin V-128","Number of Participants Evaluated for Imaging Feasibility|Percentage of Participants With Prevalence of Abnormal 99mTc-rhAnnexin V-128 SPECT/CT Imaging (Phase II Step)|Left Carotid Uptake Imaging Assessment as Measured by Target to Background Ratio (TBR)|Right Carotid Uptake Imaging Assessment as Measured by Target to Background Ratio (TBR)|Ascending Aorta Uptake Imaging Assessment as Measured by Target to Background Ratio (TBR)|Descending Aorta Uptake Imaging Assessment as Measured by Target to Background Ratio (TBR)|Aortic Arch Uptake Correlation Imaging Assessment as Measured by Target to Background Ratio (TBR)|Left Carotid Uptake Imaging Assessment as Measure by Target to Background Ratio (TBR) by Ultrasound Grade of Plaque Echolucency/Echogenicity|Right Carotid Uptake Imaging Assessment as Measure by Target to Background Ratio (TBR) by Ultrasound Grade of Plaque Echolucency/Echogenicity|Number of Participants With Treatment Emergent Adverse Events (TEAEs), Serious AEs and Death|Number of Participants With Clinically Significant Abnormal Laboratory Values","Advanced Accelerator Applications","All","18 Years and older   (Adult, Older Adult)","Phase 2","39","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","AAA-Annexin-04|CAAA113A32201","June 23, 2016","November 12, 2018","November 19, 2018","January 29, 2016","October 9, 2020","October 9, 2020","University of Ottawa Heart Institute, Ottawa, Ontario, Canada","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/57/NCT02667457/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/57/NCT02667457/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT02667457"
28,"NCT03789175","Nicotinamide Riboside on Mitochondrial Function in Li-Fraumeni Syndrome",,"Completed","Has Results","Cancer|Skin Fibroblasts|Muscle Weakness","Dietary Supplement: Nicotinamide Riboside (NR)","Change in PCr Recovery Tc Measurement From Baseline to 12 Week NR Supplementation Using the 31P-MRS Skeletal Muscle Submaximal Exercise.|Change in Time of CPET Time as a Measure of Exercise Tolerance From Baseline to 12 Weeks of NR Supplementation.","National Heart, Lung, and Blood Institute (NHLBI)|National Institutes of Health Clinical Center (CC)","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1|Phase 2","1","NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","190034|19-H-0034","March 25, 2019","November 1, 2019","November 1, 2019","December 28, 2018","December 8, 2020","December 8, 2020","National Institutes of Health Clinical Center, Bethesda, Maryland, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/75/NCT03789175/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03789175"
29,"NCT02629094","Cardiometabolic Effects of Eplerenone in HIV Infection",,"Terminated","Has Results","Cardiac Steatosis|Hepatic Steatosis","Drug: Inspra /Eplerenone","Improvement of Cardiac Steatosis: Mean Change in Intraventricular Septum Percentage of Lipid by MR Spectroscopy.|Improvement of Hepatic Steatosis: Mean Change in Hepatic Percentage of Lipid by MR Spectroscopy","National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC)","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","5","NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","160030|16-I-0030","December 2, 2015","September 11, 2017","September 11, 2017","December 14, 2015","July 17, 2018","July 17, 2018","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/94/NCT02629094/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02629094"
30,"NCT00084552","Intensity-Modulated Radiation Therapy With or Without Decreased Radiation Dose to Erectile Tissue in Treating Patients With Stage II Prostate Cancer",,"Completed","Has Results","Prostate Cancer|Sexual Dysfunction|Sexuality and Reproductive Issues","Radiation: radiation therapy","Erectile Dysfunction Rates|Percentage of Patients With Freedom From Biochemical Failure|Acute GI Toxicity|Acute GU Toxicity","Fox Chase Cancer Center","Male","18 Years and older   (Adult, Older Adult)","Not Applicable","116","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","03-028|CDR0000365458","December 11, 2003","August 24, 2013","May 5, 2016","June 11, 2004","February 25, 2021","February 25, 2021","Fox Chase Cancer Center - Philadelphia, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT00084552"
31,"NCT02215369","SeCure Endovenous Laser Treatment Study","SeCure","Completed","Has Results","Chronic Venous Insufficiency","Device: VenaCure EVLT 400 µm fiber Procedure Kit","Acute Primary Ablation Success|Technical Success","Angiodynamics, Inc.","All","18 Years and older   (Adult, Older Adult)","Not Applicable","112","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PV-VC300","January 2015","March 2018","January 14, 2019","August 13, 2014","April 21, 2020","May 19, 2020","Midwest Institute for Minimally Invasive Therapies, Melrose Park, Illinois, United States|Vein Clinics of America, Orland Park, Illinois, United States|Englewood Hospital and Medical Center, Englewood, New Jersey, United States|NYU Langone Medical Center, New York, New York, United States|UPMC, Pittsburgh, Pennsylvania, United States|The Vein Center of Virginia, Norfolk, Virginia, United States|Lake Washington Vascular, Bellevue, Washington, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/69/NCT02215369/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/69/NCT02215369/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT02215369"
32,"NCT03708562","everlinQ Endovascular Access Systems Enhancements (EASE-2) Study",,"Completed","Has Results","Chronic Kidney Diseases","Device: everlinQ endoAVF System","Number of Participants With Procedural Success|Adverse Event Rate|Percentage of Participants With Primary Patency at 6 Months Post Index Procedure|Number of Participants With EndoAVF Maturation at 1, 3, and 6 Months Post Index Procedure|Time to Cannulation (Months)|Number of Participants With Cannulation Success at Defined Follow-up Intervals|Percentage of Participants With Assisted Primary Patency at 6 Months|Percentage of Participants With Secondary Patency at 6 Months Post Index Procedure|Percentage of Participants With Functional Patency of the endoAVF at 6 Months Post Index Procedure|Number of Participants With EndoAVF Related Reintervention|Percentage of Participants With Modified Primary Patency at 6 Months Post Index Procedure","TVA Medical Inc.","All","18 Years and older   (Adult, Older Adult)","Not Applicable","24","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CD-0038","October 16, 2017","December 12, 2018","December 12, 2018","October 17, 2018","January 2, 2020","January 2, 2020","Sanatorio Italiano, Asunción, Paraguay","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/62/NCT03708562/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03708562"
33,"NCT02974140","Cataract Refractive Suite Study",,"Terminated","Has Results","Cataracts","Device: Cataract Refractive Suite (CRS)|Procedure: Standard manual technique","Percentage of Eyes With Manifest Refraction Spherical Equivalent (MRSE) Within 0.5 Diopter (D) of Predicted Postoperative Spherical Equivalent at Month 1|Cumulative Dissipated Energy (CDE)|Estimated Aspiration Fluid Used During Surgery|Phaco Aspiration Time Spent During Surgery","Alcon, a Novartis Company|Alcon Research","All","22 Years and older   (Adult, Older Adult)","Not Applicable","39","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","CTK246-P001","March 2, 2017","July 25, 2017","July 25, 2017","November 28, 2016","September 14, 2018","September 14, 2018","Alcon Investigative Site, Panama City, Florida, United States|Alcon Investigative Site, Stillwater, Minnesota, United States|Alcon Investigative Site, Hurst, Texas, United States","""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/40/NCT02974140/SAP_000.pdf|""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/40/NCT02974140/Prot_001.pdf","https://ClinicalTrials.gov/show/NCT02974140"
34,"NCT01807585","VenaSeal Sapheon Closure System Pivotal Study (VeClose)","VeClose","Completed","Has Results","Great Saphenous Vein (GSV) With Venous Reflux Disease","Device: VenaSeal SCS|Device: ClosureFast Radiofrequency Ablation (RFA)|Device: Roll-in (VenaSeal SCS)","Number of Participants With Complete Closure of the Target Vein at 3 Months|Intraoperative Pain|Ecchymosis at Day 3","Medtronic Endovascular|Sapheon, Inc.","All","21 Years to 70 Years   (Adult, Older Adult)","Not Applicable","242","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CP-11101-01","March 2013","December 2013","April 10, 2017","March 8, 2013","June 26, 2018","June 26, 2018","Morrison Vein Institute, Scottsdale, Arizona, United States|GBK Cosmetic Laser Dermatology, San Diego, California, United States|Radiology Imaging Associates (RIA), Greenwood Village, Colorado, United States|Vein Clinics of America, Oakbrook Terrace, Illinois, United States|Prairie Education & Research Cooperative, Springfield, Illinois, United States|MD Laser Skin & Vein Institute, Hunt Valley, Maryland, United States|Vein Institute of Buffalo, North Tonawanda, New York, United States|Inovia Vein Specialty Center, Bend, Oregon, United States|Sentara Vascular Specialist, Virginia Beach, Virginia, United States|Lake Washington Vascular, Bellevue, Washington, United States",,"https://ClinicalTrials.gov/show/NCT01807585"
35,"NCT03632655","A Prospective, Randomized Trial Comparing Office-based MR-guided Prostate Biopsy Approaches",,"Terminated","Has Results","Prostate Cancer|Elevated PSA","Procedure: prostate biopsy","Gleason Grade|Patient-reported Pain, as Measured on a 0-10 Likert Scale|Patient-reported Symptoms, as Measured by International Prostate Symptom Scores (IPSS) Questionnaire|Patient-reported Erectile Function, as Measured by International Index of Erectile Function (IIEF-5) Questionnaire|Patient-reported Quality of Life, as Measured by EPIC-CP Questionnaire|Adverse Events","Weill Medical College of Cornell University","Male","18 Years and older   (Adult, Older Adult)","Not Applicable","38","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","1705018187","December 23, 2017","October 8, 2020","October 8, 2020","August 15, 2018","July 13, 2021","July 13, 2021","Weill Cornell Medicine, New York, New York, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/55/NCT03632655/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03632655"
